,date,^spx_zamkniecie,aapl.us_zamkniecie,mcd.us_zamkniecie,msft.us_zamkniecie
414,2001-08-23,1162.09,0.270973,22.0518,20.8391
415,2001-08-24,1184.93,0.282827,21.804,21.8765
416,2001-08-27,1179.21,0.288011,21.6417,21.96
417,2001-08-28,1161.51,0.280075,21.3722,21.411
418,2001-08-29,1148.56,0.271273,21.4519,21.2382
419,2001-08-30,1129.03,0.271273,21.4666,20.0687
420,2001-08-31,1133.58,0.282518,21.4746,20.1144
421,2001-09-04,1132.94,0.277643,22.0067,19.7868
422,2001-09-05,1131.74,0.282518,21.985,20.3577
423,2001-09-06,1106.4,0.269678,21.7362,19.7392
424,2001-09-07,1085.78,0.263048,21.4225,19.5148
425,2001-09-10,1092.54,0.264543,20.6778,20.2891
426,2001-09-17,1038.77,0.258471,20.2943,18.662
427,2001-09-18,1032.74,0.247884,20.0278,19.1504
428,2001-09-19,1016.1,0.259129,20.3778,18.9916
429,2001-09-20,984.54,0.238662,19.5704,17.8916
430,2001-09-21,965.8,0.23959,19.3609,17.5133
431,2001-09-24,1003.45,0.250227,19.1051,18.3324
432,2001-09-25,1012.27,0.236539,18.8327,18.0892
433,2001-09-26,1007.04,0.230796,18.7708,17.7109
434,2001-09-27,1018.61,0.235951,19.3048,17.6037
435,2001-09-28,1040.94,0.235951,19.4071,18.0406
436,2001-10-01,1038.55,0.236539,19.5428,18.2629
437,2001-10-02,1051.33,0.229261,19.7474,18.7037
438,2001-10-03,1072.28,0.228025,20.486,19.8265
439,2001-10-04,1069.63,0.241693,20.6847,19.894
440,2001-10-05,1071.38,0.245651,20.6582,20.3577
441,2001-10-08,1062.44,0.246618,20.2796,20.4698
442,2001-10-09,1056.75,0.243487,20.5864,19.2349
443,2001-10-10,1080.99,0.256009,21.0575,19.5674
444,2001-10-11,1097.43,0.269996,21.4873,19.8484
445,2001-10-12,1091.65,0.274293,21.084,19.8722
446,2001-10-15,1089.98,0.273695,21.0989,20.4698
447,2001-10-16,1097.54,0.274293,21.2365,20.6018
448,2001-10-17,1077.09,0.258471,21.0251,19.755
449,2001-10-18,1068.61,0.274024,20.907,20.0042
450,2001-10-19,1073.48,0.27856,20.4359,20.4073
451,2001-10-22,1089.9,0.289507,20.309,21.2065
452,2001-10-23,1084.78,0.276118,19.7759,21.3028
453,2001-10-24,1085.2,0.288321,20.0169,21.6145
454,2001-10-25,1100.09,0.292288,20.2706,22.0533
455,2001-10-26,1104.61,0.284382,20.7014,21.9272
456,2001-10-29,1078.3,0.268232,19.5064,21.0267
457,2001-10-30,1059.79,0.267953,18.5839,20.7507
458,2001-10-31,1059.78,0.267315,18.6409,20.4976
459,2001-11-01,1084.1,0.282827,18.7334,21.7992
460,2001-11-02,1087.2,0.282827,19.1554,21.6472
461,2001-11-05,1102.84,0.290414,19.1485,22.2975
462,2001-11-06,1118.86,0.2981,19.3048,22.8356
463,2001-11-07,1115.8,0.2981,19.3196,22.647
464,2001-11-08,1118.54,0.284931,18.8062,22.7046
465,2001-11-09,1120.31,0.284931,19.0039,22.9825
466,2001-11-12,1118.33,0.285569,19.1347,23.186
467,2001-11-13,1139.09,0.294941,19.6333,23.9337
468,2001-11-14,1141.21,0.2984,19.6943,23.2536
469,2001-11-15,1142.24,0.295817,20.0503,23.3071
470,2001-11-16,1138.65,0.288659,20.0278,23.1772
471,2001-11-19,1151.06,0.304541,19.9176,23.4551
472,2001-11-20,1142.66,0.297423,19.4612,23.0539
473,2001-11-21,1137.03,0.299566,19.4337,22.5726
474,2001-11-23,1150.34,0.301999,19.6776,22.8117
